Image_Path,Wall_Length_Meters,Bricks,Cement_Bags,Sand_Volume_m3
ideathon\images\0_1.jpg,2368.61,415546,1421,5684.66
ideathon\images\0_10.jpg,371.22,65126,223,890.93
ideathon\images\0_11.jpg,2128.75,373465,1277,5109.0
ideathon\images\0_12.jpg,1027.0,180175,616,2464.8
ideathon\images\0_13.jpg,2625.53,460619,1575,6301.27
ideathon\images\0_14.jpg,2742.09,481068,1645,6581.02
ideathon\images\0_15.jpg,1052.25,184605,631,2525.4
ideathon\images\0_16.jpg,961.44,168674,577,2307.46
ideathon\images\0_17.jpg,826.51,145002,496,1983.62
ideathon\images\0_18.jpg,673.43,118146,404,1616.23
ideathon\images\0_19.jpg,645.1,113175,387,1548.24
ideathon\images\0_2.jpg,555.67,97486,333,1333.61
ideathon\images\0_20.jpg,928.16,162835,557,2227.58
ideathon\images\0_21.jpg,840.43,147444,504,2017.03
ideathon\images\0_22.jpg,607.38,106558,364,1457.71
ideathon\images\0_23.jpg,1299.09,227911,779,3117.82
ideathon\images\0_24.jpg,1071.69,188016,643,2572.06
ideathon\images\0_25.jpg,1504.15,263886,902,3609.96
ideathon\images\0_26.jpg,1062.81,186458,638,2550.74
ideathon\images\0_27.jpg,2588.07,454047,1553,6211.37
ideathon\images\0_28.jpg,1188.58,208523,713,2852.59
ideathon\images\0_29.jpg,920.83,161549,552,2209.99
ideathon\images\0_3.jpg,2305.53,404479,1383,5533.27
ideathon\images\0_30.jpg,2209.16,387572,1325,5301.98
ideathon\images\0_4.jpg,1003.29,176016,602,2407.9
ideathon\images\0_5.jpg,875.5,153596,525,2101.2
ideathon\images\0_6.jpg,1069.55,187640,642,2566.92
ideathon\images\0_7.jpg,1400.87,245767,841,3362.09
ideathon\images\0_8.jpg,1239.46,217449,744,2974.7
ideathon\images\0_9.jpg,1109.05,194570,665,2661.72
ideathon\images\10_1.jpg,1491.23,261619,895,3578.95
ideathon\images\10_10.jpg,1126.21,197581,676,2702.9
ideathon\images\10_11.jpg,1826.62,320460,1096,4383.89
ideathon\images\10_12.jpg,2128.75,373465,1277,5109.0
ideathon\images\10_13.jpg,2427.3,425842,1456,5825.52
ideathon\images\10_14.jpg,2327.31,408300,1396,5585.54
ideathon\images\10_15.jpg,2742.09,481068,1645,6581.02
ideathon\images\10_16.jpg,3437.03,602988,2062,8248.87
ideathon\images\10_17.jpg,694.11,121774,416,1665.86
ideathon\images\10_18.jpg,2318.8,406807,1391,5565.12
ideathon\images\10_19.jpg,1463.78,256804,878,3513.07
ideathon\images\10_2.jpg,2305.53,404479,1383,5533.27
ideathon\images\10_20.jpg,2354.39,413051,1413,5650.54
ideathon\images\10_21.jpg,2132.06,374046,1279,5116.94
ideathon\images\10_22.jpg,1080.81,189616,648,2593.94
ideathon\images\10_23.jpg,1087.15,190728,652,2609.16
ideathon\images\10_24.jpg,673.43,118146,404,1616.23
ideathon\images\10_25.jpg,2897.14,508270,1738,6953.14
ideathon\images\10_26.jpg,1471.74,258200,883,3532.18
ideathon\images\10_27.jpg,1953.42,342705,1172,4688.21
ideathon\images\10_28.jpg,1848.1,324228,1109,4435.44
ideathon\images\10_29.jpg,846.75,148553,508,2032.2
ideathon\images\10_3.jpg,1003.29,176016,602,2407.9
ideathon\images\10_30.jpg,1107.71,194335,665,2658.5
ideathon\images\10_4.jpg,875.5,153596,525,2101.2
ideathon\images\10_5.jpg,1239.46,217449,744,2974.7
ideathon\images\10_6.jpg,1109.05,194570,665,2661.72
ideathon\images\10_7.jpg,2099.55,368342,1260,5038.92
ideathon\images\10_8.jpg,1134.39,199016,681,2722.54
ideathon\images\10_9.jpg,4111.76,721361,2467,9868.22
ideathon\images\13_1.jpg,1705.1,299140,1023,4092.24
ideathon\images\13_10.jpg,2013.82,353302,1208,4833.17
ideathon\images\13_11.jpg,2330.06,408782,1398,5592.14
ideathon\images\13_12.jpg,1070.51,187809,642,2569.22
ideathon\images\13_13.jpg,816.45,143237,490,1959.48
ideathon\images\13_14.jpg,1927.59,338174,1157,4626.22
ideathon\images\13_15.jpg,1611.83,282777,967,3868.39
ideathon\images\13_16.jpg,1504.9,264018,903,3611.76
ideathon\images\13_17.jpg,1369.32,240232,822,3286.37
ideathon\images\13_18.jpg,1523.75,267325,914,3657.0
ideathon\images\13_19.jpg,1568.42,275161,941,3764.21
ideathon\images\13_2.jpg,1087.15,190728,652,2609.16
ideathon\images\13_20.jpg,1258.33,220760,755,3019.99
ideathon\images\13_21.jpg,0.0,0,0,0.0
ideathon\images\13_22.jpg,1541.15,270377,925,3698.76
ideathon\images\13_23.jpg,3595.43,630777,2157,8629.03
ideathon\images\13_24.jpg,1908.78,334874,1145,4581.07
ideathon\images\13_25.jpg,2105.9,369456,1264,5054.16
ideathon\images\13_26.jpg,2546.4,446737,1528,6111.36
ideathon\images\13_27.jpg,536.12,94056,322,1286.69
ideathon\images\13_28.jpg,2308.48,404996,1385,5540.35
ideathon\images\13_29.jpg,587.35,103044,352,1409.64
ideathon\images\13_3.jpg,1245.0,218421,747,2988.0
ideathon\images\13_30.jpg,443.8,77860,266,1065.12
ideathon\images\13_4.jpg,1528.31,268125,917,3667.94
ideathon\images\13_5.jpg,2175.92,381740,1306,5222.21
ideathon\images\13_6.jpg,2110.11,370195,1266,5064.26
ideathon\images\13_7.jpg,409.35,71816,246,982.44
ideathon\images\13_8.jpg,1928.1,338263,1157,4627.44
ideathon\images\13_9.jpg,615.98,108067,370,1478.35
ideathon\images\14_1.jpg,1280.88,224716,769,3074.11
ideathon\images\14_10.jpg,2318.8,406807,1391,5565.12
ideathon\images\14_11.jpg,1080.81,189616,648,2593.94
ideathon\images\14_12.jpg,673.43,118146,404,1616.23
ideathon\images\14_13.jpg,2897.14,508270,1738,6953.14
ideathon\images\14_14.jpg,3586.16,629151,2152,8606.78
ideathon\images\14_15.jpg,5632.67,988188,3380,13518.41
ideathon\images\14_16.jpg,1953.42,342705,1172,4688.21
ideathon\images\14_17.jpg,1527.42,267968,916,3665.81
ideathon\images\14_18.jpg,2233.72,391881,1340,5360.93
ideathon\images\14_19.jpg,1575.62,276425,945,3781.49
ideathon\images\14_2.jpg,2624.11,460370,1574,6297.86
ideathon\images\14_20.jpg,1502.41,263581,901,3605.78
ideathon\images\14_21.jpg,2659.55,466588,1596,6382.92
ideathon\images\14_22.jpg,1841.66,323098,1105,4419.98
ideathon\images\14_23.jpg,1111.86,195063,667,2668.46
ideathon\images\14_24.jpg,1972.64,346077,1184,4734.34
ideathon\images\14_25.jpg,2019.52,354302,1212,4846.85
ideathon\images\14_26.jpg,413.03,72461,248,991.27
ideathon\images\14_27.jpg,1099.04,192814,659,2637.7
ideathon\images\14_28.jpg,2060.53,361496,1236,4945.27
ideathon\images\14_29.jpg,2321.98,407365,1393,5572.75
ideathon\images\14_3.jpg,996.18,174768,598,2390.83
ideathon\images\14_30.jpg,1216.58,213435,730,2919.79
ideathon\images\14_4.jpg,1126.21,197581,676,2702.9
ideathon\images\14_5.jpg,1780.67,312398,1068,4273.61
ideathon\images\14_6.jpg,1826.62,320460,1096,4383.89
ideathon\images\14_7.jpg,2322.49,407454,1393,5573.98
ideathon\images\14_8.jpg,2427.05,425798,1456,5824.92
ideathon\images\14_9.jpg,2742.09,481068,1645,6581.02
ideathon\images\15_1.jpg,2621.52,459916,1573,6291.65
ideathon\images\15_10.jpg,1400.87,245767,841,3362.09
ideathon\images\15_11.jpg,1239.46,217449,744,2974.7
ideathon\images\15_12.jpg,1109.05,194570,665,2661.72
ideathon\images\15_13.jpg,2099.55,368342,1260,5038.92
ideathon\images\15_14.jpg,1300.54,228165,780,3121.3
ideathon\images\15_15.jpg,1688.03,296146,1013,4051.27
ideathon\images\15_16.jpg,1392.23,244251,835,3341.35
ideathon\images\15_17.jpg,2128.75,373465,1277,5109.0
ideathon\images\15_18.jpg,2293.07,402293,1376,5503.37
ideathon\images\15_19.jpg,2327.31,408300,1396,5585.54
ideathon\images\15_2.jpg,2035.89,357174,1222,4886.14
ideathon\images\15_20.jpg,3437.03,602988,2062,8248.87
ideathon\images\15_21.jpg,694.11,121774,416,1665.86
ideathon\images\15_22.jpg,1089.33,191111,654,2614.39
